Label;Denomination;Content;Rock type / Mineral;Location;Producer;Comments;Links
RGM-1;Rhyolite from Glass Mountain, Holocene;Rhyolite;Rhyolite;Siskiyou County, CA;United States Geological Survey;;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-RGM-1_1.html
S;ozean. Tholeiit Sonne 40/07-D;Basalt;Basalt;;;;
S-1;Standard Syenite;Syenite;Syenite;;;;
S8122;JR78/12/2;;;;;Rodnummer2586;
SA 1774;Südafr. 17/74;;;;;80,7 ppm Au;
SA 2974;Südafr. 29/74;;;;;14.4 ppm Au;
SA 3881;Südafr. 38/81;;;;;1,82 ppm Au;
SARM 7;;;Platin ore;;;;
SARM 7;Pt-ore;;Pyroxenit N;RSA Südafrika;;;
SARM 8 a;Chromium Ore Chroomerts Sarm 8;;;;;;
SARM 8 b;Chromium Ore Chroomerts Sarm 8;;;;;;
SARM 8a;Chromium ore 17023;;;;;Roth Nr.2586;
SARM 8b;Chromium ore 19091;;;;;Roth Nr.2568;
SCH-1;Black Shale SCHS-1;Shale;Black Shale;;;;
SCHS-1;SCHS-1 Black Shale JGJ;Shale;Black Shale;;;Roth Nr.2586      1996;
SDO-1;Huron Member of the Ohio Shale;Shale;Devonian Ohio Shale;Morehead, KY;United States Geological Survey;;http://minerals.cr.usgs.gov/geo_chem_stand/ohioshale.html
SDO-1a;;Shale;Devonian Ohio Shale;;United States Geological Survey;0521 Σ 194.7 g/ -12.2g RFA/ -40g ;http://minerals.cr.usgs.gov/geo_chem_stand/ohioshale.html
SDO-1b;;Shale;Devonian Ohio Shale;;United States Geological Survey;756;http://minerals.cr.usgs.gov/geo_chem_stand/ohioshale.html
SDO-1c;;Shale;Devonian Ohio Shale;;United States Geological Survey;Nr. 0310;http://minerals.cr.usgs.gov/geo_chem_stand/ohioshale.html
SDU-1;SDU-1 Dunit JGJ;Dunite;Dunite;;;Roth Nr. 2586;
SF1;Standardprobe  Sphalerit;;Sphalarit;Bergakademie Freiberg DDR Sektion Geowissenschaften;;Ampullenprobe Nr.18;
SG-1A;SG-1A Granit albitized JGJ;Granite;Granite;;;Roth Nr. 2586;
SG-3;SG-3 Granit alkaline JGJ;Granite;Granite;;;Roth Nr. 2586;
